Place,State,2011 (estimated)
North Richland Hills,Texas,64780
Eagan,Minnesota,64765
San Clemente,California,64491
South San Francisco,California,64409
East Orange,New Jersey,64365
Franklin,Tennessee,64317
Pittsburg,California,64294
Lorain,Ohio,64152
Laguna Niguel,California,63940
Johnson City,Tennessee,63815
Bayonne,New Jersey,63722
Fort Myers,Florida,63512
Janesville,Wisconsin,63479
Pico Rivera,California,63400
Shawnee,Kansas,63219
Pasco,Washington,63186
Lodi,California,63133
Victoria,Texas,63131
Montebello,California,62954
North Little Rock,Arkansas,62886
Hamilton,Ohio,62795
Woodbury,Minnesota,62787
Bossier City,Louisiana,62745
Bismarck,North Dakota,62665
Taylor,Michigan,62489
Council Bluffs,Iowa,62466
Maple Grove,Minnesota,62440
Rockville,Maryland,62334
Madera,California,62219
Utica,New York,62110
Homestead,Florida,61940
Coon Rapids,Minnesota,61904
Eden Prairie,Minnesota,61657
Tamarac,Florida,61542
Haverhill,Massachusetts,61351
Kissimmee,Florida,61346
Delray Beach,Florida,61209
Waltham,Massachusetts,61181
La Habra,California,61164
Gaithersburg,Maryland,61045
Daytona Beach,Florida,61028
Terre Haute,Indiana,60961
Vineland,New Jersey,60952
Burnsville,Minnesota,60828
Marysville,Washington,60785
Meriden,Connecticut,60770
West Allis,Wisconsin,60714
Monterey Park,California,60707
Bristol,Connecticut,60525
Conway,Arkansas,60470
Encinitas,California,60400
Greenville,South Carolina,60379
Santa Cruz,California,60342
Springfield,Ohio,60333
Tulare,California,60289
North Miami,Florida,60143
Cheyenne,Wyoming,60096
Malden,Massachusetts,60071
Lancaster,Pennsylvania,60058
Pontiac,Michigan,59887
St. Clair Shores,Michigan,59798
Taylorsville,Utah,59767
Springfield,Oregon,59695
New Braunfels,Texas,59590
Alpharetta,Georgia,59397
National City,California,59369
Gardena,California,59253
Cupertino,California,59220
Ames,Iowa,59042
Conroe,Texas,58973
Great Falls,Montana,58950
Bowling Green,Kentucky,58894
Lakewood,Washington,58839
Grand Junction,Colorado,58704
Des Plaines,Illinois,58617
Huntington Park,California,58536
Petaluma,California,58453
Rocklin,California,58324
San Rafael,California,58313
Dubuque,Iowa,58234
Chapel Hill,North Carolina,58011
West Des Moines,Iowa,57909
La Mesa,California,57907
North Port,Florida,57780
Idaho Falls,Idaho,57646
Mansfield,Texas,57627
Royal Oak,Michigan,57607
Owensboro,Kentucky,57605
Blaine,Minnesota,57584
Rogers,Arkansas,57539
Rowlett,Texas,57463
Rocky Mount,North Carolina,57433
Marietta,Georgia,57357
Broomfield,Colorado,57352
White Plains,New York,57258
Dearborn Heights,Michigan,57186
Wellington,Florida,57163
Orland Park,Illinois,57016
Tinley Park,Illinois,56965
Oak Lawn,Illinois,56937
Berwyn,Illinois,56906
Arcadia,California,56769
Medford,Massachusetts,56738
Port Orange,Florida,56529
Ocala,Florida,56517
Lakeville,Minnesota,56443
Kettering,Ohio,56427
Moore,Oklahoma,56315
Fountain Valley,California,56153
Valdosta,Georgia,56019
Casper,Wyoming,55988
Anderson,Indiana,55957
Diamond Bar,California,55951
Taunton,Massachusetts,55940
Jupiter,Florida,55911
Decatur,Alabama,55902
Woodland,California,55806
Novi,Michigan,55583
West Haven,Connecticut,55477
New Brunswick,New Jersey,55444
Carson City,Nevada,55439
Midwest City,Oklahoma,55427
Chicopee,Massachusetts,55333
Bowie,Maryland,55232
Redmond,Washington,55228
Bartlett,Tennessee,55055
Porterville,California,55023
Eastvale,California,54930
Pocatello,Idaho,54810
Corvallis,Oregon,54674
Elyria,Ohio,54581
Auburn,Alabama,54566
Paramount,California,54492
Mount Prospect,Illinois,54403
Hanford,California,54284
Margate,Florida,54270
Santee,California,54197
Rosemead,California,54154
Weymouth Town,Massachusetts,54116
Hempstead,New York,54088
Shoreline,Washington,54044
Port Arthur,Texas,53937
Sanford,Florida,53926
Coconut Creek,Florida,53915
Highland,California,53903
Delano,California,53819
Manhattan,Kansas,53678
Noblesville,Indiana,53515
Lake Elsinore,California,53417
St. Peters,Missouri,53264
Wheaton,Illinois,53238
Colton,California,52940
Lake Havasu City,Arizona,52935
Normal,Illinois,52772
Blue Springs,Missouri,52749
Grand Forks,North Dakota,52631
Revere,Massachusetts,52459
Novato,California,52456
Euless,Texas,52443
Cathedral City,California,52381
Hendersonville,Tennessee,52349
Sarasota,Florida,52341
Brentwood,California,52326
Pensacola,Florida,52197
Florissant,Missouri,52145
Yucaipa,California,52139
Hoffman Estates,Illinois,52124
Oak Park,Illinois,52104
Battle Creek,Michigan,52093
Smyrna,Georgia,51982
Lakewood,Ohio,51724
La Crosse,Wisconsin,51719
Peabody,Massachusetts,51653
Buckeye,Arizona,51649
Watsonville,California,51586
Greenwood,Indiana,51584
South Jordan,Utah,51377
Elkhart,Indiana,51320
Bellevue,Nebraska,51319
Placentia,California,51302
Cedar Park,Texas,51283
Saginaw,Michigan,51230
Milford,Connecticut,51189
Charleston,West Virginia,51177
Perth Amboy,New Jersey,51093
Burlington,North Carolina,50925
Albany,Oregon,50724
Joplin,Missouri,50559
Hoboken,New Jersey,50545
Minnetonka,Minnesota,50435
Glendora,California,50435
West New York,New Jersey,50260
Bradenton,Florida,50193
Troy,New York,50120
Niagara Falls,New York,50086
Plainfield,New Jersey,50085
DeSoto,Texas,50045
